id,reg,dis,con,ward,ccm_leg10,split_leg10
168,RUVUMA,MBINGA,MBINGA MAGHARIBI,LITUHI,1,64.85
169,RUVUMA,NAMTUMBO,NAMTUMBO,MSINDO,1,48.54
170,RUVUMA,NAMTUMBO,NAMTUMBO,KITANDA,1,48.54
171,RUVUMA,NAMTUMBO,NAMTUMBO,LUCHILI,1,48.54
172,IRINGA,IRINGA RURAL,ISMANI,NDULI,1,NA
173,IRINGA,IRINGA RURAL,ISMANI,MAHUNINGA,1,NA
174,IRINGA,MUFINDI,MUFINDI KUSINI,IHOWANZA,1,NA
175,IRINGA,MUFINDI,MUFINDI KUSINI,MTWANGO,1,NA
176,IRINGA,MAKETE,MAKETE,MATAMBA,1,70.17
177,IRINGA,NJOMBE,NJOMBE KUSINI,NJOMBE MJINI,1,NA
178,IRINGA,NJOMBE,MUFINDI KUSINI,MTWANGO,1,NA
179,IRINGA,LUDEWA,LUDEWA,MAWENGI,1,NA
180,IRINGA,LUDEWA,LUDEWA,LUPINGU,1,NA
181,IRINGA,LUDEWA,LUDEWA,LUDEWA,1,NA
182,IRINGA,IRINGA URBAN,IRINGA MJINI,MTWIVILA,0,6.06
183,IRINGA,IRINGA URBAN,IRINGA MJINI,MWANGATA,0,6.06
184,IRINGA,KILOLO,KILOLO,MAHENGE,1,84.77
185,MBEYA,CHUNYA,LUPA,MATWIGA,1,15.59
186,MBEYA,CHUNYA,LUPA,MAKONGOROSI,1,15.59
187,MBEYA,CHUNYA,LUPA,IFUMBO,1,15.59
188,MBEYA,CHUNYA,SONGWE,MBANGALA,1,NA
189,MBEYA,MBEYA RURAL,MBEYA VIJIJINI,ILEMBO,1,22.51
190,MBEYA,MBEYA RURAL,MBEYA VIJIJINI,ISUTO,1,22.51
191,MBEYA,KYELA,KYELA,MATEMA,1,80.22
192,MBEYA,KYELA,KYELA,BUJONDE,1,80.22
193,MBEYA,RUNGWE,RUNGWE MASHARIKI,LSANGE,1,NA
194,MBEYA,RUNGWE,RUNGWE MAGHARIBI,LUFINGO,1,NA
195,MBEYA,RUNGWE,RUNGWE MAGHARIBI,KIWIRA,1,NA
196,MBEYA,ILEJE,ILEJE,ISONGOLE,1,69.31
197,MBEYA,ILEJE,ILEJE,CHITETE,1,69.31
198,MBEYA,MBOZI,MBOZI MAGHARIBI,LSANSA,0,1.49
199,MBEYA,MBOZI,MBOZI MASHARIKI,RUANDA,1,20.49
200,MBEYA,MBOZI,MBOZI MAGHARIBI,IHANDA,0,1.49
201,MBEYA,MBARALI,MBARALI,UBARUKU,1,35.24
202,MBEYA,MBEYA URBAN,MBEYA MJINI,IGAWILO,0,29.88
203,MBEYA,MBEYA URBAN,MBEYA MJINI,ISYESYE,0,29.88
204,SINGIDA,IRAMBA,IRAMBA MAGHARIBI,KISIRIRI,1,80.24
205,SINGIDA,IRAMBA,IRAMBA MAGHARIBI,MTOA,1,80.24
206,SINGIDA,SINGIDA RURAL,SINGIDA MASHARIKI,ISSUNA,0,6
207,SINGIDA,MANYONI,MANYONI MASHARIKI,MAKURU,1,77.22
208,SINGIDA,MANYONI,MANYONI MAGHARIBI,MGANDU,1,9.46
209,SINGIDA,SINGIDA URBAN,SINGIDA MJINI,IPEMBE,1,67.82
210,SINGIDA,SINGIDA RURAL,SINGIDA MAGHARIBI,PUMA,1,26.5
211,TABORA,NZEGA,NZEGA,NZAGA MJINI,1,34.36
212,TABORA,NZEGA,NZEGA,MUHUGI,1,34.36
213,TABORA,IGUNGA,IGUNGA,ISAKAMALIWA,1,49.68
214,TABORA,IGUNGA,IGUNGA,MWAMASHIGA,1,49.68
215,TABORA,IGUNGA,IGUNGA,KINING'INILA,1,49.68
216,TABORA,IGUNGA,IGUNGA,CHABUTWA,1,49.68
217,TABORA,UYUI,IGALULA,LUTENDE,1,52.47
218,TABORA,UYUI,TABORA KASKAZINI,SHITAGE,1,70.65
219,TABORA,URAMBO,NZEGA,MILAMBO,1,34.36
220,TABORA,SIKONGE,SIKONGE,SIKONGE,1,33.65
221,TABORA,SIKONGE,SIKONGE,KIPILI,1,33.65
222,TABORA,SIKONGE,SIKONGE,LGIGWA,1,33.65
223,TABORA,TABORA URBAN,TABORA MJINI,NG'AMBO,1,48.49
224,TABORA,TABORA URBAN,TABORA MJINI,NDEVELWA,1,48.49
225,RUKWA,MPANDA,NA,KATUMBA,NA,NA
226,RUKWA,MPANDA,NA,MISHAMO,NA,NA
227,RUKWA,MPANDA,NA,KASHAULILI,NA,NA
228,RUKWA,SUMBAWANGA RURAL,KWELA,LAELA,1,61.27
229,RUKWA,SUMBAWANGA RURAL,KWELA,MUZE,1,61.27
230,RUKWA,SUMBAWANGA RURAL,KWELA,MTOWISA,1,61.27
231,RUKWA,NKASI,NKASI KASKAZINI,NAMANYERE,1,8.07
232,RUKWA,NKASI,NKASI KASKAZINI,ISALE,1,8.07
233,RUKWA,NKASI,NKASI KASKAZINI,KIRANDO,1,8.07
234,RUKWA,SUMBAWANGA URBAN,SUMBAWANGA MJINI,SENGA,1,0.55
235,KIGOMA,KIBONDO,MUHAMBWE,KIBONDO MJINI,0,22.85
236,KIGOMA,KIBONDO,MUHAMBWE,KITAHANA,0,22.85
237,KIGOMA,KIBONDO,MUHAMBWE,BUSAGARA,0,22.85
238,KIGOMA,KIBONDO,MUHAMBWE,KUMSENGA,0,22.85
239,KIGOMA,KASULU,KASULU VIJIJINI,ERU USHINGO,0,15.98
240,KIGOMA,KASULU,KASULU VIJIJINI,NYAMIDAHO,0,15.98
241,KIGOMA,KASULU,KASULU VIJIJINI,KITAGATA,0,15.98
242,KIGOMA,KASULU,KASULU VIJIJINI,MUZENZE,0,15.98
243,KIGOMA,KASULU,NA,KAJANA,NA,NA
244,KIGOMA,KASULU,KASULU MJINI,MURUFITI,0,13.07
245,KIGOMA,KIGOMA RURAL,KIGOMA KASKAZINI,BITALE,0,10.42
246,KIGOMA,KIGOMA RURAL,KIGOMA KUSINI,NGURUKA,0,4.87
247,KIGOMA,LAKE TANGANYIKA,NA,N.A. ( 1030),NA,NA
248,SHINYANGA,BARIADI,BARIADI MASHARIKI,LAGANGABILILI,0,6.89
249,SHINYANGA,MASWA,MASWA MAGHARIBI,BUCHAMBI,0,15.95
250,SHINYANGA,MASWA,MASWA MAGHARIBI,BADI,0,15.95
251,SHINYANGA,SHINYANGA RURAL,SOLWA,USULE,1,43.85
252,SHINYANGA,SHINYANGA RURAL,SOLWA,SALAWE,1,43.85
253,SHINYANGA,KAHAMA,MSALALA,BUGARAMA,1,42.08
254,SHINYANGA,KAHAMA,MSALALA,LUNGUYA,1,42.08
255,SHINYANGA,KAHAMA,KAHAMA,BULUNGWA,1,19.47
256,SHINYANGA,KAHAMA,KAHAMA,IGWAMANONI,1,19.47
257,SHINYANGA,BUKOMBE,BUKOMBE,USHIROMBO,0,22.29
258,SHINYANGA,MEATU,MEATU,MWAMISHALI,0,3.51
259,SHINYANGA,MEATU,KISESA,MWABUSALU,1,25.54
260,SHINYANGA,SHINYANGA URBAN,SHINYANGA MJINI,KAMBARAGE,1,0.33
261,SHINYANGA,SHINYANGA URBAN,SHINYANGA MJINI,CHIBE,1,0.33
262,SHINYANGA,KISHAPU,KISHAPU,KISHAPU,1,49.14
263,SHINYANGA,KISHAPU,KISHAPU,SHAGIHILU,1,49.14
264,SHINYANGA,KISHAPU,KISHAPU,KILOLELI,1,49.14
265,KAGERA,KARAGWE,KARAGWE,KITUNTU,1,9.3
266,KAGERA,KARAGWE,KARAGWE,NYAKAKIKA,1,9.3
267,KAGERA,KARAGWE,KYERWA,MURONGO,1,27.27
268,KAGERA,BUKOBA RURAL,NKENGE,KASAMBYA,1,92.32
269,KAGERA,BUKOBA RURAL,NKENGE,KITOBO,1,92.32
270,KAGERA,BUKOBA RURAL,NKENGE,BUGANDIKA,1,92.32
