"y3_hhid","reg","dis","ward","id","con","ccm_leg10","split_leg10","ccm_prez10","split_prez10"
"2185-001","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2186-001","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2187-001","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2188-001","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2189-001","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2190-001","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2191-001","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2192-001","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2192-002","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2192-003","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2193-001","MBEYA","MBOZI","RUANDA",368,"MBOZI MASHARIKI",1,20.49,1,36.72
"2194-001","MBEYA","MBOZI","RUANDA",368,"MBOZI MASHARIKI",1,20.49,1,36.72
"2195-001","MBEYA","MBOZI","RUANDA",368,"MBOZI MASHARIKI",1,20.49,1,36.72
"2196-001","MBEYA","MBOZI","RUANDA",368,"MBOZI MASHARIKI",1,20.49,1,36.72
"2196-004","MBEYA","MBOZI","RUANDA",368,"MBOZI MASHARIKI",1,20.49,1,36.72
"2197-001","MBEYA","MBOZI","RUANDA",368,"MBOZI MASHARIKI",1,20.49,1,36.72
"2198-001","MBEYA","MBOZI","RUANDA",368,"MBOZI MASHARIKI",1,20.49,1,36.72
"2199-001","MBEYA","MBOZI","RUANDA",368,"MBOZI MASHARIKI",1,20.49,1,36.72
"2200-001","MBEYA","MBOZI","RUANDA",368,"MBOZI MASHARIKI",1,20.49,1,36.72
"2201-001","MBEYA","MBOZI","RUANDA",368,"MBOZI MASHARIKI",1,20.49,1,36.72
"2202-001","MBEYA","MBEYA RURAL","UTENGULE USONGWE",358,"MBEYA VIJIJINI",1,22.51,1,40.14
"2203-001","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2203-004","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
