"","y2_hhid","reg","dis","ward","id","con","ccm_prez05","split_prez05"
"88","0105010004027201","DODOMA","DODOMA URBAN","HOMBOLO",102,"DODOMA MJINI",1,83.2
"89","0105010004033501","DODOMA","DODOMA URBAN","HOMBOLO",102,"DODOMA MJINI",1,83.2
"90","0105010004040301","DODOMA","DODOMA URBAN","HOMBOLO",102,"DODOMA MJINI",1,83.2
"91","0105010004048001","DODOMA","DODOMA URBAN","HOMBOLO",102,"DODOMA MJINI",1,83.2
"92","0105010004051701","DODOMA","DODOMA URBAN","HOMBOLO",102,"DODOMA MJINI",1,83.2
"93","0105010004069201","DODOMA","DODOMA URBAN","HOMBOLO",102,"DODOMA MJINI",1,83.2
"94","0105029002016101","DODOMA","DODOMA URBAN","NALA",103,"DODOMA MJINI",1,83.2
"95","0105029002022401","DODOMA","DODOMA URBAN","NALA",103,"DODOMA MJINI",1,83.2
"96","0105029002032201","DODOMA","DODOMA URBAN","NALA",103,"DODOMA MJINI",1,83.2
"97","0105029002055701","DODOMA","DODOMA URBAN","NALA",103,"DODOMA MJINI",1,83.2
"98","0105029002064901","DODOMA","DODOMA URBAN","NALA",103,"DODOMA MJINI",1,83.2
"99","0105029002069001","DODOMA","DODOMA URBAN","NALA",103,"DODOMA MJINI",1,83.2
"100","0105029002069101","DODOMA","DODOMA URBAN","NALA",103,"DODOMA MJINI",1,83.2
"101","0105029002123801","DODOMA","DODOMA URBAN","NALA",103,"DODOMA MJINI",1,83.2
"102","0201010001014801","ARUSHA","MONDULI","SELELA",26,"MONDULI",1,89.6
"103","0201010001026301","ARUSHA","MONDULI","SELELA",26,"MONDULI",1,89.6
"104","0201010001029701","ARUSHA","MONDULI","SELELA",26,"MONDULI",1,89.6
"105","0201010001033601","ARUSHA","MONDULI","SELELA",26,"MONDULI",1,89.6
"106","0201010001051101","ARUSHA","MONDULI","SELELA",26,"MONDULI",1,89.6
"107","0201010001055801","ARUSHA","MONDULI","SELELA",26,"MONDULI",1,89.6
"108","0201010001065601","ARUSHA","MONDULI","SELELA",26,"MONDULI",1,89.6
"109","0201010001078501","ARUSHA","MONDULI","SELELA",26,"MONDULI",1,89.6
"110","0201011001004801","ARUSHA","MONDULI","ENGARUKA",27,"MONDULI",1,89.6
"111","0201011001020601","ARUSHA","MONDULI","ENGARUKA",27,"MONDULI",1,89.6
"112","0201011001020901","ARUSHA","MONDULI","ENGARUKA",27,"MONDULI",1,89.6
"113","0201011001024601","ARUSHA","MONDULI","ENGARUKA",27,"MONDULI",1,89.6
"114","0201011001024604","ARUSHA","MONDULI","ENGARUKA",27,"MONDULI",1,89.6
"115","0201011001025901","ARUSHA","MONDULI","ENGARUKA",27,"MONDULI",1,89.6
