id,reg,dis,con,ward
142,MTWARA,NEWALA,NEWALA,LUCHINGU
143,MTWARA,NEWALA,NEWALA,MCHOLI II
144,MTWARA,NEWALA,NEWALA,MTOPWA
145,MTWARA,NEWALA,NEWALA,CHIWONGA
146,MTWARA,NEWALA,NEWALA,MAKUKWE
147,MTWARA,MASASI,MASASI,MASASI
148,MTWARA,MASASI,MASASI,LISEKESE
149,MTWARA,MASASI,MASASI,CHIGUGU
150,MTWARA,NEWALA,MASASI,NANGANGA
151,MTWARA,MASASI,NANYUMBU,NANGOMBA
152,MTWARA,MASASI,LULINDI,MKULULU
153,MTWARA,TANDAHIMBA,TANDAHIMBA,MKOREHA
154,MTWARA,TANDAHIMBA,TANDAHIMBA,NANHYANGA
155,MTWARA,MTWARA URBAN,MTWARA MJINI,LIKOMBE
156,MTWARA,MTWARA URBAN,MTWARA MJINI,VIGAENI
157,MTWARA,MTWARA URBAN,MASASI,MWENA
158,MTWARA,MTWARA URBAN,MTWARA MJINI,SHANGANI
159,RUVUMA,TUNDURU,TUNDURU KASKAZINI,MLINGOTI MASHARIKI
160,RUVUMA,TUNDURU,TUNDURU KASKAZINI,MLINGOTI MAGHARIBI
161,RUVUMA,SONGEA RURAL,PERAMIHO,MUHUKURU
162,RUVUMA,SONGEA RURAL,PERAMIHO,MAPOSENI
163,RUVUMA,SONGEA RURAL,PERAMIHO,LILAMBO
164,RUVUMA,NAMTUMBO,PERAMIHO,MATIMIRA
165,RUVUMA,MBINGA,MBINGA MAGHARIBI,KILOSA
166,RUVUMA,MBINGA,MBINGA MAGHARIBI,KINGERIKITI
167,RUVUMA,MBINGA,MBINGA MAGHARIBI,LIULI
168,RUVUMA,MBINGA,MBINGA MASHARIKI,MBUJI
169,RUVUMA,MBINGA,MBINGA MAGHARIBI,LITUHI
170,RUVUMA,NAMTUMBO,NAMTUMBO,MSINDO
171,RUVUMA,NAMTUMBO,NAMTUMBO,KITANDA
172,RUVUMA,NAMTUMBO,NAMTUMBO,LUCHILI
173,IRINGA,IRINGA RURAL,ISMANI,NDULI
174,IRINGA,IRINGA RURAL,ISMANI,MAHUNINGA
175,IRINGA,MUFINDI,MUFINDI KUSINI,IHOWANZA
176,IRINGA,MUFINDI,MUFINDI KUSINI,MTWANGO
177,IRINGA,MAKETE,MAKETE,MATAMBA
178,IRINGA,NJOMBE,NJOMBE KUSINI,NJOMBE MJINI
179,IRINGA,NJOMBE,MUFINDI KUSINI,MTWANGO
180,IRINGA,LUDEWA,LUDEWA,MAWENGI
181,IRINGA,LUDEWA,LUDEWA,LUPINGU
182,IRINGA,LUDEWA,LUDEWA,LUDEWA
183,IRINGA,IRINGA URBAN,IRINGA MJINI,MTWIVILA
